Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0548667587320485,0.0803611343666108,0.0897569086344725,0.109940042004685,0.165573354936329,0.239506900543419,0.304230215945755,0.408965290862913,0.335061035441608,0.29808781267706,0.283692395910162,0.297971774718822,0.268358772656602,0.281195815732375,0.299082634225993,0.297563650500103,0.223478872007068,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.42794420369885,1.36009220693963,1.36398860235111,1.43379650688868,1.42824958589414,1.49211670359782,1.64276192996892,1.76810850906738,1.5659214019027,1.65638950333875,1.79571244233506,1.66521852478371,1.5900693334483,1.88055711291312,1.85464154039805,1.74946245713759,1.54455011524574,..,..,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.75275878150928,2.85792656968889,2.98514913079317,3.02350291507781,3.11677094713759,3.1870690441654,3.18435699969857,3.30523251701306,3.6213677179274,3.65846867891071,3.81152114717356,3.95196093867474,3.83383422168475,3.83368112626665,3.92429872230088,3.99440182789199,3.7182233703076,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.28675600847491,7.20627364517826,6.80540008227272,6.89038992938287,7.08182236539346,6.99539619780101,7.22359093387771,6.95758640724418,6.86229281962458,6.67423318900893,6.44593066279443,6.48576924149081,6.46528811690102,6.30209786421442,6.59405703011478,6.2872038038851,5.77714799227799,..,..,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.929811079517077,0.812875087547097,0.821263801721427,0.811413505818644,0.888609844897006,0.939457360187463,0.975916771759854,0.983787081068222,0.947583107262692,1.0310436355189,1.0914970571178,1.12518536428885,1.01255212444657,0.829723216824015,0.755827619476188,0.753638205444169,0.592742967779037,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.65410876477369,4.71647322490578,4.9199579702083,5.11119781506048,5.14228057320633,5.36588828163816,5.43555633350837,5.25890993785239,5.35962771175035,5.34368396668814,5.34089380967323,5.45023960151655,5.5264785124332,5.48842722154545,5.5508261847074,5.52558159731646,5.12173012173012,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.65608487008491,3.73671686472615,3.92426184145235,4.08315143871477,4.15237520977984,3.84834822677955,4.09984413971278,4.28102814513,4.26411100150765,4.34225013023383,4.20911189491323,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138,..,..,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.22769506270091,1.4639120044788,1.48330439988819,1.73226338897741,1.90569819009788,1.52171038249891,1.47188348205694,1.68560616406553,1.96145306391904,1.896163384039,1.89589367216507,1.85625278998956,1.7679664042068,1.88339587008485,2.01377938113001,2.1965523671897,2.40468376195106,..,..,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.3688710453093,18.2784730852853,18.2927495943223,18.4547376555999,18.2392898668792,18.1572008366536,17.9737515176961,17.6560553381679,17.4056176654109,16.7945880965987,16.1557451398864,16.1984582210401,16.3203306101751,16.1491503049618,15.8657135218488,15.5990453615115,14.7761369066259,..,..,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.27587070234996,9.2664055123168,8.962101510998,8.58876639792215,8.50023841866895,7.72122810060212,8.36562481018494,8.13618977833065,7.72385166247508,7.754017978913,7.26093085754911,7.3188595368183,7.29077721621103,7.48703675539348,7.14114021108032,7.26333120118199,6.63264573733546,..,..,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.40840305784626,3.58006875718703,3.59340212503904,3.21952384836796,3.47440491133578,2.84957053250929,2.68511249642712,2.97414762017826,3.23916734726194,3.28557436862051,3.3815556221401,3.29279481365619,3.30395789547903,3.24303764763118,3.29264124897847,3.54349533028946,3.39884957289227,..,..,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.10541288120575,5.62270704189716,5.40627906449198,5.40084883662411,5.46093523890903,5.45703518748455,5.30283546582653,5.77589628257706,6.26680032769636,7.27447167120446,6.47314143566049,5.62112773970771,5.15359516738388,5.43882512154779,6.955357720462,6.48289363427156,6.04225147673512,..,..,..
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.5097228271368,22.9440272485062,23.1574047277959,22.1050385764205,22.3013969557155,20.9564094542131,21.394806553811,21.465302946925,22.1841250870451,22.8688416095137,23.0965713649406,22.3856249935763,21.4953098652797,20.9460377778113,20.7379617303374,22.063354812112,21.9769078065259,..,..,..
