,index,Unnamed: 0,Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
24,29550,29550,CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,15571.7,16225.4,17910.2,18888.5,20761.2,20589.7,20842.5,23738.2,21960.2,21847.8,19506.8,19629,22356.6,22692.7,22615.8,21124.3,20946.8,..,..,..
25,29551,29551,CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,3970.3,4278.6,4086.9,4319.8,4392.7,4186.58,3371.7,3883.337,3414.335,5421.539,6988.912,6949.712,6629.312,7337.512,8061.3875,7198.3,5763.687,..,..,..
26,29552,29552,CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,328517.3,331689.1,335624.6,352555.8,373633.1,350000.9,397931.1,418295.4,454232.9,486844.7,511618,485344.1,447077.3,455684.8,433838.8,434318,414138.8,..,..,..
27,29553,29553,CO2 emissions (kt),EN.ATM.CO2E.KT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
28,29554,29554,CO2 emissions (kt),EN.ATM.CO2E.KT,Brunei Darussalam,BRN,5103,4991.3,7520.8,7143.2,7912.5,7874.3,7170.8,7332.7,7299.5,7208.8,7080.3,6397.7,6968.5,7290.2,7540,7057.8,9588,..,..,..
29,29555,29555,CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,47265.7,47985.6,48954.8,52598.7,50039.3,42907.8,44740.6,49637.6,45023.1,39660.7,42054.4,44556.5,41586.7,43885.1,40898.2,39159.9,34138.1,..,..,..
30,29556,29556,CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,1133.84,1151.29,1400.48,1682.82,1909.6,1930.1,2094.3,2200.4,2693,2947,2997,3801.8,3997.8,4625.2,5147.7,5646.5,5456.7,..,..,..
31,29557,29557,CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,159.6,161,191.6,192.1,198.7,198.1,323.3,359.3,364.2,366.4,364.8,366.8,442,529.1,664.9,707.4,713.466,..,..,..
32,29558,29558,CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,416,451.5,518.7,460,475.7,510.6,540.7,566.8,525.6,502,496.4,499.9,542.9,584.7,594.7,617.2,620.6,..,..,..
33,29559,29559,CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,2377.8,2657.5,2963,3660.73,4055.5,4745,5140.8,5363.7,5673.9,5737.6,6947.2,8432.6,11066.4,12660.5,13555.7,18093.2,18652.8,..,..,..
34,29560,29560,CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,5122.6,5016.3,5091.7,6131.5,6393.5,7032.4,7014.4,6801.5,6866.7,7526.8,8222.8,8500.2,8974.7,9076,9749.7,9557.3,9928.4,..,..,..
35,29561,29561,CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,536417.3,549032.7,540525.6,571632,550553.2,521399.4,537091.5,549369.9,546291.6,555742.4,561760.5,558747.2,556874.1,568175.9,579573.9,566001.8,516873.7,..,..,..
36,29562,29562,CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
